phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,furan,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,3-methylfuran,oxirane,h radical,hydroxy,hydroperoxy,peroxide,cyclopent-3-enone
100.0,0.00035,0.99465,0.005,0.07305127328256486,0.0004316100207852368,0.1377969848958106,32.50474915646951,349.2447516047681,6.827845497302422,0.03161349123626466,6.305611187903281,0.7423359376941071,0.03345986283351533,0.00003377768229259936,0.0013472799782984555,0.0029466285582360908,0.1469915226681166,2.788041961158924e-6,0.000036032221682867216,39.65404257379499,4952.825686773026,0.000013348435539989174,0.0000142211810355965,0.0000142211810355965,0.000010215426832558274,0.12953635894069768,1.4466261861307763e-8,0.0000927837144248228,0.012828952553765592,8.442996195521206e-8,0.00007128135497057878,4.814504596252376e-6,2.5146997626290704e-7,0.0033986235257828686,0.09579974028154446,0.00004947591921214303
12.0,0.002916667,0.992083333,0.005,3.249245342757641,0.1693538673744402,6.527082052571211,47.60005718456734,2892.54981801456,32.55427178253384,1.313957594968359,20.442051687248195,22.937813533230713,0.2818768957313058,0.004386126848602343,0.03730697226004169,0.42433991150499034,6.493700596328412,0.000620616984975569,0.0020468680932199663,90.49438347498474,4866.899950179105,0.00046239043877637246,0.0006391563160707325,0.0006391563160707325,0.0002892186840680683,1.8791467882491704,1.6222556514445795e-6,0.003268400915322819,0.7625907876288542,4.7404928170774386e-6,0.006067585553298407,0.000022247217695975954,7.861640068878031e-6,0.049601569010971,1.407329109917674,0.0035801965640161705
6.0,0.005833333,0.989166667,0.005,9.770683295083273,1.064128037387222,20.048070284671013,57.970006606835874,5763.980985417508,52.0579105447645,3.5551387171064914,22.77786163592693,65.07895006286418,0.30935530341028444,0.021954510675972497,0.15888950520075137,1.3452300718119865,16.535863091922373,0.003903710914503341,0.007115860321788552,140.38337688578542,4776.962399785104,0.0015844334658695204,0.003055819056623592,0.003055819056623592,0.002896330895913687,4.507587493091687,8.025061012028847e-6,0.009524536736905743,2.466777107162005,0.000015773969526384116,0.026769214752115814,0.00003481283897138736,0.000022590211370976832,0.12140519057539229,3.5074915258304227,0.014111116386025684
3.0,0.011666667,0.983333333,0.005,31.704281414640764,6.4567679238896885,58.68854177293501,74.01029905715552,11468.451587391626,86.07753019619854,9.653977347086084,23.028279652852977,180.11555749910144,0.257847131306404,0.11496530136718514,0.7884355468554021,3.396329364530512,36.22330898245273,0.02699418885116192,0.02540284904748301,244.84801521932124,4573.205158264298,0.0054474761692870416,0.018250445558259686,0.018250445558259686,0.03602414812333984,10.549906009334645,0.000049396835001107875,0.026541092478635533,7.488770102619644,0.00005253985507687881,0.12408143795226195,0.00005586646720412246,0.00006443850661887779,0.30073678739342385,9.054493528476938,0.05314068171906312
2.0,0.0175,0.9775,0.005,64.61771656258058,16.75525134353864,98.47164654299105,85.68504435639416,17146.74607808945,116.13852288236308,17.780985963151064,23.01456167365914,310.9473099997877,0.22211826925549158,0.28446928874472804,1.9620660847221485,4.951749349051772,53.1537855319488,0.07538035148934266,0.0503182274575059,340.8019436807217,4369.8186471884155,0.010328809846615182,0.04903373439427534,0.04903373439427534,0.13359970305720187,16.29523494303403,0.00014039158991426608,0.04539640952134415,13.262881656631127,0.00009919530404866345,0.2904195276195461,0.00007301241042933079,0.00011481314888518222,0.49478416549205567,15.523736066943382,0.1084517733430126
1.75,0.02,0.975,0.005,81.25859986075432,22.30768117181083,113.39743016012028,89.78042296202504,19577.70796447719,128.22181906169698,21.73022293273323,23.096254223481132,367.15675866418786,0.21277137543242727,0.37484795096312207,2.5948449442343486,5.430807637727712,59.6383687320494,0.10199436162821984,0.061692222848328315,377.25370346195064,4288.691505955026,0.01247965903050466,0.06604038843326435,0.06604038843326435,0.1950523698971628,18.522108367673784,0.00019338037079327518,0.05340476077366022,15.708098618353022,0.00011971769725479717,0.37802180851814704,0.00007947082659215897,0.00013733018555746253,0.5775652850899649,18.436693261176586,0.1350993629516788
1.5,0.023333333,0.971666667,0.005,105.13833082221218,30.441371097410716,130.81938496658708,94.65516570678597,22818.89462356015,143.75818956112093,27.276464006017093,23.26837715125212,440.55901866977706,0.204063722395303,0.5069182900449403,3.5220853572270645,5.9249442832355275,67.66616262892273,0.14091829103055284,0.07683355038240204,421.50879719212656,4187.4024501877675,0.015306184511970404,0.09130727048460416,0.09130727048460416,0.290754234225416,21.261520553192913,0.00027433205083062206,0.06383699919997352,18.858009821884092,0.00014645622464539777,0.5062639729625734,0.0000874664665420789,0.0001675039472626235,0.6861466457669122,22.40163888766442,0.17231039753246105
1.25,0.028,0.967,0.005,140.86199087356124,42.74990859773732,150.62858874367774,100.63828007239402,27358.53922450085,164.50027793806782,35.34510932615089,23.585858860302686,539.124581984311,0.19698397031529236,0.706780556180249,4.9246303872199135,6.398880349477959,77.83919038362596,0.19898270331808335,0.09732313340840668,475.95306501652516,4058.6733008004753,0.019102628925132637,0.13027769799338015,0.13027769799338015,0.441943416988235,24.685764087912656,0.00040224254437109093,0.07786003744195266,23.008825175769726,0.0001816954646485872,0.7021650154426237,0.00009772184166450633,0.00020936283029033775,0.8337080929414504,28.058048957018645,0.22642177411942935
1.1,0.031818182,0.963181818,0.005,171.33023262393831,53.24838223912154,163.33635263482154,104.97778930017813,31075.750513935545,180.60355884042636,42.0260068554809,23.87666742938979,615.6102016242862,0.1942425324129025,0.8775798113209313,6.119546684041597,6.6459510126715475,85.32572765193369,0.24729613182627708,0.11309817177092192,514.9015303335411,3963.8812804337003,0.022024307587065823,0.1642333691470123,0.1642333691470123,0.5726971527469575,27.1697009080576,0.0005149369263568431,0.08878290322170113,26.170437810202888,0.00020812234427260918,0.8720156616574656,0.00010544925809206528,0.00024288097641822427,0.9501297074094237,32.74195335832387,0.27160408465518787
1.0,0.035,0.96,0.005,197.1746129268399,62.100603646353356,171.89638912471233,108.28408722652081,34175.9232454789,193.4087841145466,47.55319512497932,24.123057831156004,676.3974183634655,0.1934199980603462,1.0218926246190125,7.1259994134668405,6.780150230869966,91.03723847616028,0.2869922590243288,0.1254331059891143,544.0936185213677,3891.4222006574637,0.024315255244602492,0.19341334602432675,0.19341334602432675,0.6823490247528784,29.047827954636393,0.0006117463146022605,0.09749563699424871,28.64927106686326,0.0002283568400916623,1.0175318816546743,0.00011149441649374975,0.000270152781079004,1.0440785465542854,36.66479595795123,0.3094741979148101
