phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,furan,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,3-methylfuran,oxirane,h radical,hydroxy,hydroperoxy,peroxide,cyclopent-3-enone
100.0,0.00035,0.99465,0.005,0.07356753547508589,0.0004338771733746046,0.13843679692695937,32.51034228391072,349.240853990615,6.8373552496665395,0.031710448021678515,6.313111829756645,0.7458462524438493,0.03353281005522963,0.00003496152606994025,0.0013497648731959477,0.002964001988128553,0.14786470441788124,2.7317811727657887e-6,0.000035917188077393884,39.67022421648536,4952.798122506654,0.000013392190906685562,0.000015124067123486815,0.000015124067123486815,0.000010636905363131244,0.12999465645261615,1.4511444272189171e-8,0.00009442862044420522,0.012924962024320853,8.486752535567937e-8,0.00007175552910416878,4.820853248859449e-6,2.4433403139937257e-7,0.0034119229029400686,0.09617463132079283,0.00005197400540160943
12.0,0.002916667,0.992083333,0.005,3.2751350483872117,0.17112836948883883,6.59141829716507,47.63370402039576,2892.3126334382296,32.629694916555884,1.320688366130672,20.430642906310506,23.161282578627407,0.2812707022378022,0.004438241774603535,0.037595357916566166,0.42810925964325774,6.546061427572698,0.0006213199370421303,0.0020504176870867774,90.69518900896449,4866.500795085969,0.0004665482057365797,0.0006722622440030267,0.0006722622440030267,0.00029457085442972795,1.8930439090684994,1.6252968974112444e-6,0.0033272905871956178,0.7749455899551243,4.791006859595961e-6,0.006139935392104264,0.00002228828659115039,7.678533402920857e-6,0.050023206812707346,1.419465370792192,0.0037423367324485256
6.0,0.005833333,0.989166667,0.005,9.853903245423933,1.0794753336783582,20.32532607087436,58.026162360490844,5763.138271164986,52.20985328074385,3.5762407547786066,22.71782143205556,65.87215607313699,0.3070005399704478,0.022250088295019264,0.1605614024326341,1.3585803732837511,16.665776410323662,0.003958083288767509,0.007147152642454931,140.98396287892888,4775.7007874663905,0.0016031255734699212,0.003181184453793464,0.003181184453793464,0.0029457426925849255,4.55067499988013,8.043784238376529e-6,0.0096996538704381,2.516014602094624,0.00001600663444806759,0.027161968398836975,0.000034890077050447856,0.000022124783373584012,0.12275887795295945,3.5478069747066114,0.014680829183519529
3.0,0.011666667,0.983333333,0.005,31.938343292905753,6.5607531652589035,59.596739497861655,74.02247094013893,11465.952227131254,86.27670249915987,9.7229092366748,22.911355455802852,182.40801626317267,0.2543514907273381,0.11658434320495996,0.7963812940760461,3.4221455403249688,36.403686898425306,0.02758286042252998,0.02550991410841139,246.32449445869423,4569.843978694379,0.005507023230886507,0.01879973970849348,0.01879973970849348,0.03659431955810073,10.65194922773389,0.000049400758678561335,0.02699773764384644,7.649609839140893,0.00005340968911967215,0.12593347088155674,0.00005592990942243705,0.00006319427742628899,0.3043605930738195,9.169872066684839,0.05484353965576122
2.0,0.0175,0.9775,0.005,64.91677062609702,16.996959224329295,99.81753006109305,85.58095898896474,17142.870587713856,116.2975270012483,17.911298419237966,22.87399986617979,314.4348536161221,0.21870125885427952,0.2878315911633527,1.9750498080800298,4.971473999098992,53.275952873918364,0.0769711295498954,0.050381681822328425,342.81103074108495,4365.024919390245,0.010410133772473172,0.05015987066479198,0.05015987066479198,0.13489675093290193,16.4315683189918,0.00013980642110926012,0.04610041674279466,13.531583400186436,0.00010065281680490622,0.2942372648784506,0.00007297218765995692,0.00011250837356171586,0.5003319660468759,15.71184230647453,0.11120998806299927
1.75,0.02,0.975,0.005,81.53563582287038,22.610209723160292,114.8442273270234,89.62463968026526,19573.408446228575,128.36135286861372,21.88499845807387,22.949703711552594,371.0094246265681,0.20942341693230618,0.37887388185539017,2.608141570114741,5.44514101188953,59.72092041783583,0.10406200729177874,0.061692282696151075,379.408361638421,4283.50869549485,0.012563362319269704,0.06740260696334473,0.06740260696334473,0.19643723458330747,18.667440398780332,0.0001922610228878164,0.05420137892784194,16.016357080453187,0.00012135601596509061,0.3827105618621258,0.00007937871566126115,0.00013451269205165225,0.5838096399972501,18.65395338560958,0.13822615572218167
1.5,0.023333333,0.971666667,0.005,105.33721592289132,30.820894930192893,132.3393640947787,94.43467849219192,22814.172424262375,143.8752486393141,27.459099831846107,23.115749753302765,444.78102699055177,0.20078523857831543,0.5116739738083209,3.5338039851354255,5.93141043622919,67.68956037861821,0.1436124055725203,0.07671806087150253,423.81557920857546,4181.851551015113,0.015388432969652822,0.09295299877780987,0.09295299877780987,0.29190496055321535,21.415598813554336,0.0002722351638132604,0.06474810160532521,19.212961198219617,0.00014826785969975303,0.512099752111803,0.00008730552781934093,0.00016397159287607243,0.6932255986512158,22.6562415295533,0.17584759711255302
1.25,0.028,0.967,0.005,140.86569106481818,43.225132890280065,152.16900775796685,100.33703573875188,27353.454976331563,164.59229920797839,35.55548555418349,23.42680163309029,543.6837674766008,0.19374364914473785,0.7122184719140319,4.930671258078989,6.3945509965732485,77.77384839378163,0.20248858899530917,0.09700748127947047,478.4303321746052,4052.8097093751344,0.019176676151733595,0.13225027587569882,0.13225027587569882,0.44205331525519614,24.84805147105779,0.00039833665957510623,0.0789187340106483,23.419262109667024,0.0001836387125224286,0.709547908698817,0.00009746886340077825,0.00020479850511167085,0.8418109300261771,28.3625199943092,0.23039463123936085
1.1,0.031818182,0.963181818,0.005,171.11051532331538,53.78991420660479,164.84869529335487,104.61820461807743,31070.528765000374,180.67842814013935,42.24885369727501,23.71329778675737,620.3268223428208,0.1909840042568443,0.8832789897434745,6.1185299280120455,6.633604636677023,85.1861914481044,0.25138761853302954,0.11260223217445396,517.5026197481809,3957.877866799175,0.022088085748588313,0.16641249638495864,0.16641249638495864,0.571404465338465,27.336530452575616,0.0005092566209393738,0.08995400387515154,26.619309832877075,0.00021009835291689957,0.8805966140173114,0.00010512521738873834,0.0002374648516632004,0.9589701820059715,33.08544565603804,0.27583231376903466
1.0,0.035,0.96,0.005,196.7324201866677,62.68912426480729,173.3666978550715,107.88018504679955,34170.673242714314,193.4701272563577,47.77974692182879,23.956438053839722,681.1834061400324,0.1901174761196303,1.0276175592665115,7.117872754380427,6.761802924949982,90.8362176403239,0.29151302798455164,0.12478380408396875,546.7943964185737,3885.355244983535,0.024368790251917825,0.19572562281916983,0.19572562281916983,0.6795879080723645,29.217486744520063,0.0006044453765551683,0.09875558718111914,29.126276296527518,0.00023032187728340255,1.0270582112471207,0.0001111136199438038,0.0002640305200065714,1.0534768711020976,37.039694616454575,0.3138581047846045
0.9,0.038888889,0.956111111,0.005,228.21748095781948,73.52336001332634,181.66619461168307,111.53965417238548,37963.18033506123,208.32325709094943,54.40397717462598,24.24553009112573,751.9087709135597,0.1903302831275259,1.2036117010268952,8.33340568646219,6.852050332623984,97.14086218322961,0.33891709312137125,0.13861209567117794,579.1392095761349,3804.014734440426,0.026967296645873495,0.2321315941208328,0.2321315941208328,0.8089840184150501,31.306804033587067,0.000721846865639121,0.1090243969594836,32.00563918669423,0.00025278518799332756,1.208462853279447,0.00011799078453044904,0.00029559148589783986,1.1651342478793927,41.87782500274761,0.360205309668242
0.85,0.041176471,0.953823529,0.005,246.70286524173179,79.82121333471848,185.62604054704707,113.53933106966002,40195.88781232226,216.65184882330004,58.20570628726923,24.407389968142642,791.6894555682911,0.19094616166029466,1.30601517950693,9.03971816357562,6.87820484906024,100.56110246649752,0.36569928821639963,0.14619688372920464,596.6076726876217,3759.5760851101927,0.02839684876172318,0.25368221609658603,0.25368221609658603,0.88261648153881,32.43929493054446,0.0007906291106892627,0.1148152214169073,33.610534993799384,0.0002648708001628269,1.3155055030490153,0.00012182157253601092,0.0003136640534483536,1.228863776635803,44.71975469954463,0.38729074265921154
0.8,0.04375,0.95125,0.005,267.3854269590584,86.80587086244132,189.38166582405992,115.66313534677123,42709.30888997407,225.6572705878342,62.38342673558597,24.579972719536993,834.885728754578,0.19196945195176307,1.419631068945136,9.823129288049586,6.88851405971108,104.16969525036944,0.3947080359418462,0.15424903831574543,615.0358031147966,3712.342483316574,0.029917228073023057,0.2779371154338472,0.2779371154338472,0.9626620295788116,33.63617790307604,0.000867223069976244,0.121111286999198,35.34237467794711,0.0002775070041849338,1.4356015294710642,0.00012594903180416267,0.0003335467624480627,1.2988651643881677,47.90853361571945,0.41753118947739876
0.75,0.046666667,0.948333333,0.005,290.60445468104,94.5640419482938,192.85833568762067,117.91787543475576,45559.92722730613,235.39816362380026,66.97887148949191,24.761753775943294,881.9191474149484,0.19345957934982116,1.5458326002394882,10.693790265419844,6.880053150888625,107.97098115519466,0.426045586092897,0.1627733079231586,634.5073753156023,3662.0769951657817,0.03152874941285132,0.3053369671004876,0.3053369671004876,1.0493621324246738,34.90229259601594,0.0009525432531325033,0.1279709281471039,37.21629207525197,0.0002906522848154071,1.5707010482761592,0.00013040101119554613,0.0003554986869853591,1.3760768295532788,51.50695228853088,0.45144169422516794
0.7,0.05,0.945,0.005,316.76149807866443,103.19251688872292,195.96444342220815,120.30787919987094,48820.439671603184,245.9316136659872,72.03705679334452,24.95008621784256,933.2784557452939,0.19548364863773102,1.686115463219889,11.663387986928614,6.849395366959088,111.96520550075692,0.45976989431130066,0.17175985069906347,655.1184794634004,3608.5219550323127,0.033227928767317706,0.3364091707045827,0.3364091707045827,1.1428104719684113,36.24287819519889,0.00104756993240998,0.1354587250743179,39.24994904919724,0.0003042312803001774,1.7230597908007914,0.00013520501986171715,0.00037982662531460375,1.461629891764982,55.59303002030857,0.48964608935913956
0.65,0.053846154,0.941153846,0.005,346.3327238321105,112.7978003670807,198.587601425367,122.83300257289001,52586.019423130856,257.3083605673473,77.60543769242956,25.14071856423943,989.5323112454884,0.19811713149468904,1.8420649556715227,12.745417998098718,6.792543509644837,116.14641311942427,0.49586546059964187,0.18117614961712275,676.9809563998707,3551.398800590789,0.03500526596016652,0.3717858422563956,0.3717858422563956,1.2428698961984355,37.66360423451219,0.0011533268363309267,0.14364509255811628,41.46409234325702,0.0003181202958488936,1.8952682192248895,0.0001403858468972426,0.00040689558023067454,1.5568994504106632,60.264724984691256,0.532905239656587
0.6,0.058333333,0.936666667,0.005,379.88359335415515,123.49429279602053,200.58977269588627,125.4855135683595,56983.703704780666,269.5648868289853,83.73223299311532,25.327123327918223,1051.3448036882376,0.2014447027800145,2.015285533917338,13.955536512340128,6.70487310555008,120.4995322499934,0.5342001237509691,0.19095506661685832,700.2274830949104,3490.4087640419248,0.03684192181978142,0.4122242668490206,0.4122242668490206,1.349056477941274,39.170597698142444,0.0012708414898654457,0.15260492854189164,43.88327300286299,0.0003321270678463241,2.090264112755437,0.000145961503881851,0.0004371418666910656,1.6635726428671471,65.6464432029527,0.5821540806171028
0.55,0.063636364,0.931363636,0.005,418.08673454173754,135.39990328976447,201.80127596180637,128.24527996614498,62186.921414795164,282.71068835808524,90.46352257359348,25.49957171694558,1119.4955028149443,0.20556166381110108,2.207269528852328,15.312062979199142,6.581108630729546,124.99647128534609,0.574462017178719,0.2009773673468848,725.0196540059519,3425.2338002358447,0.0387047852225365,0.4586291420625829,0.4586291420625829,1.4603827251268064,40.77046998163146,0.0014010830868834566,0.1624147199293987,46.53682996693232,0.0003459628507980043,2.311310662379146,0.00015193655574282478,0.0004710900904139083,1.7837412268232655,71.8982459534427,0.6385514718476674
0.5,0.07,0.925,0.005,461.7445037005596,148.62702922217514,202.01349698024566,131.07236897899602,68438.73003269864,296.70789576880674,97.83853142812295,25.643874752383393,1194.906758173759,0.21057708743131673,2.4191675504324803,16.836771176197054,6.415372320745212,129.591070518872,0.6160684021864099,0.21104626138234006,751.5611554666741,3355.5366649970924,0.04053919222887149,0.512074354726795,0.512074354726795,1.5751533299953866,42.47031778335416,0.001544873929515561,0.17314701935459953,49.460295207617285,0.0003592043241563918,2.5619052248097365,0.0001582913495280337,0.0005093759509324704,1.9200294857845184,79.22914836840873,0.7035489739172928
0.45,0.077777778,0.917222222,0.005,511.82089866316477,163.26551457071915,200.9702969027898,133.89578674262933,76090.56935805967,311.4389438296654,105.88255626536319,25.73971121833523,1278.6856629564131,0.21662159356143712,2.651409008634204,18.55629893752471,6.201373670371404,134.21306255275465,0.6580363852797908,0.22085079697615476,780.1202877626071,3280.955441588824,0.042258319739078655,0.5738207138561925,0.5738207138561925,1.690718119392231,44.27764855635196,0.001702781787178163,0.18486069677328001,52.69758279754015,0.00037124284135726856,2.845560017492415,0.0001649650369804234,0.0005527796589128365,2.075776962306551,87.91696207249322,0.7789905405188134
0.4,0.0875,0.9075,0.005,569.4950404129999,179.35159807307141,198.3584487338855,136.5965149695826,85670.0588257684,326.6552326090677,114.59729649935294,25.758491886171942,1372.1974428486355,0.22386677175752898,2.9031036571868274,20.5049063418474,5.9328566944353,138.7618818766519,0.69880397457417,0.22991404130191478,811.0694826189634,3201.0811365191244,0.04372800038792764,0.6453237975586906,0.6453237975586906,1.8032133709924727,46.20004734852963,0.001875028535287713,0.19758433237473508,56.3047067340309,0.0003812190576237903,3.1653483940679132,0.00017182943585919235,0.0006022808546457005,2.255309222884887,98.33904372775264,0.8672665612425059
0.35,0.1,0.895,0.005,636.2713045184247,196.8127080027486,193.7982627075717,138.9823951448045,98006.89736803799,341.895439602718,123.95006188954278,25.66082164184887,1477.2138036794386,0.23257337409794523,3.171157286162952,22.730314843596346,5.604494827095081,143.10305153682208,0.7359929697603936,0.2375217103838027,844.9569776429562,3115.387819543772,0.04474564135209326,0.7282276430242812,0.7282276430242812,1.9073900530493955,48.24408864644428,0.0020615279171686284,0.21128882785212516,60.35679524982122,0.00038794348318378153,3.523032825798364,0.00017865028176224364,0.0006591635770942905,2.464364126019684,111.02263733949229,0.9715755072854259
0.31,0.112903226,0.882096774,0.005,697.6201424190466,211.5951686683465,188.44568710976617,140.4665808913623,110761.35013899686,353.57989113546483,131.84411269185014,25.463862941249943,1571.1581970129446,0.24089326781741727,3.3931733339200885,24.75833934282886,5.296714602960307,146.31773586884236,0.760870121463798,0.2418708841429648,874.7429303956766,3042.1016525619316,0.04503754999562318,0.8039768517738475,0.8039768517738475,1.9804136663999523,49.968758749205485,0.002221000741776222,0.22287565286720915,63.990167526873584,0.00038991764477378063,3.8358434406088557,0.00018381757177185444,0.0007111780461940883,2.658057403020448,123.30077439678396,1.0695273019446319
0.28,0.125,0.87,0.005,749.2545306630634,222.97193766816153,183.26551080737343,141.19011478412395,122733.21176178247,361.63786582826486,137.9732536219515,25.2250324194694,1648.615767920298,0.24819588107445842,3.560722615352232,26.46206650217563,5.039938477955011,148.52219820618083,0.7751437152693863,0.2436525521633558,899.0673380960012,2983.9116590391272,0.04481808718618913,0.8669532276979853,0.8669532276979853,2.026851673977192,51.31219584604864,0.002346975132519875,0.23184297009039137,66.99589576400957,0.0003887395333472826,4.0842034231074935,0.00018733334974644326,0.0007548523630633956,2.8222625811459032,134.10914857214007,1.1535296608784802
0.25,0.14,0.855,0.005,806.8112588057662,234.36851491653871,176.95246618080546,141.44178388780787,137593.82533343806,368.66112512392283,144.26337006908804,24.889783275063166,1733.3942960286856,0.2567599756030443,3.725801797803402,28.366512870324758,4.762615778430978,150.5188756780365,0.7842703592849746,0.24373529449477796,925.5439126836256,2922.3636569355267,0.04409995941926624,0.9357521217669179,0.9357521217669179,2.0647261240043377,52.692081935185335,0.002479380377277825,0.24094415952923126,70.29838601094002,0.000384702937323976,4.341474955375036,0.00019035495314953193,0.0008034670197316052,3.006101985612171,146.65024446787368,1.2486911636713376
0.23,0.152173913,0.842826087,0.005,849.2255046868762,241.82444862035817,172.05229800343398,141.26938585420248,149664.67688262498,372.5068725836119,148.54774770788146,24.603718079053326,1794.8663436298862,0.26343007390826106,3.832662323846265,29.777974660052536,4.567820075126909,151.73063057155827,0.7867678051592218,0.24261442631292446,944.6719712757774,2879.02546801136,0.043278494329129384,0.9851399188126377,0.9851399188126377,2.0848625485198653,53.625932847300454,0.0025721926473603694,0.24701905168999394,72.70157000127143,0.000380127683115645,4.5157823399857415,0.00019199174111625696,0.0008392522379469865,3.1415822421861717,156.19476828555233,1.3196601952641376
0.2,0.175,0.82,0.005,920.7162571319901,252.46501094258733,163.5701694117031,140.35392294260524,172315.93343239944,376.48940163219135,155.1472907388,24.066475585648647,1896.5725835247622,0.27552814081512256,3.985135845778198,32.17936571724196,4.26442974564554,153.39194378767084,0.7838904905284843,0.23875471553838135,976.1678952496845,2809.4552556751655,0.04141758644460376,1.0650752445742424,1.0650752445742424,2.1076857794980133,55.02867502472664,0.002721087497514435,0.25600315118744243,76.69146900915814,0.00036993468973991475,4.776369305605364,0.00019369557900419652,0.0008994728859911177,3.368301012896586,172.75397410012272,1.440291669362384
0.19,0.184210526,0.810789474,0.005,947.1929358579132,255.77827052629556,160.42199373824036,139.83812667967055,181461.25574009822,377.20280872828675,157.41138593983857,23.85564539847462,1933.6204537794329,0.280320729697377,4.03326924386254,33.07676890621009,4.1613443907182095,153.9166553068852,0.7808927495094286,0.2367918164194424,987.5695105143532,2784.709435644633,0.0406040758836409,1.093436857124516,1.093436857124516,2.1136113681723154,55.490320318335115,0.002774251004390754,0.2589274454400689,78.14798151564155,0.00036553650772917426,4.8615618170215,0.0001940211295159993,0.0009217333945622958,3.4512374895373545,178.99910460585502,1.4850909291256675
0.17,0.205882353,0.789117647,0.005,1005.3557246270362,261.8805737893291,153.6156550328111,138.4263763245842,202988.8073289994,377.44243163735496,162.08879127615256,23.38204099083686,2013.788221545536,0.2915064030443975,4.124699645464439,35.063404673791766,3.9542691711831477,154.9589756846596,0.7714003231998842,0.23168826741540757,1012.0276067634279,2732.1229872922136,0.03864564758068895,1.1530610694391545,1.1530610694391545,2.1238527925014026,56.38896983348246,0.0028881011086528637,0.2646013464713907,81.30201991771236,0.00035504943421161607,5.02648298614491,0.00019423877545483257,0.0009705237581681742,3.630365641641095,192.83973197470897,1.583270716062123
0.15,0.233333333,0.761666667,0.005,1072.6154547058923,267.0292881592591,146.0949380328119,136.41891716677873,230270.92312199716,375.70821378876695,167.0720597036968,22.834508184726637,2104.339145229025,0.305629299122149,4.209103779054089,37.383495163018864,3.7488667483428415,156.062928511868,0.7567210491977483,0.2248042718301713,1039.1228804526277,2674.120244586479,0.036195977931692006,1.2170768227546334,1.2170768227546334,2.13378053530872,57.22605406838793,0.0030158108049294684,0.26994294844257943,84.86139365188404,0.00034206100479417136,5.179545441804343,0.0001937924589158257,0.0010267082118007654,3.830601737482018,208.89798382431388,1.6956309560915552
0.13,0.269230769,0.725769231,0.005,1152.9625829575255,270.82794933363436,137.80919953956032,133.6794337671698,265963.3846794874,371.3767849514981,172.5755676617114,22.207456146976085,2209.407321707882,0.32418656908538945,4.286417033162671,40.17582109069769,3.5492972010524735,157.36458401481818,0.7361698936796083,0.21584414183150855,1069.4974970239195,2608.393641772779,0.033193284621995674,1.2863594247606889,1.2863594247606889,2.1468976884627193,57.9468104486515,0.0031641607477201628,0.2747971790371888,88.97350068685725,0.0003262090982170942,5.31320972237033,0.000192565864620293,0.001093431985818822,4.057757371422829,227.89692358154738,1.8269229707404173
0.11,0.318181818,0.676818182,0.005,1253.1987730618077,272.7314867730081,128.677256988849,130.0115873594064,314653.05140637874,363.5423768605944,178.9766586695551,21.49445395887103,2335.8203358749793,0.349752892611595,4.3577111059572005,43.66599866981731,3.3603685777502696,159.08948315098934,0.7089344890008091,0.20443213260316698,1103.9435404003864,2531.2262970515208,0.02957391940925223,1.3621251131658734,1.3621251131658734,2.1688765961609064,58.45668244771297,0.003343604349023416,0.27894214055709315,93.87294417455679,0.0003069949069015366,5.416246538899843,0.0001904114094929636,0.0011760608757395566,4.320879299196794,250.9997036131934,1.9846413212833798
0.1,0.35,0.645,0.005,1314.2766825111535,272.7420368084257,123.74760578971576,127.73683995044986,346308.49786822114,357.89806702699326,182.70535687353382,21.10277615307555,2410.44308222451,0.36650643009947464,4.391849592910357,45.78371640013525,3.2713684326546177,160.2186403770366,0.692477243903483,0.19765034540029525,1122.9666063012703,2486.554354539668,0.027512957494046912,1.4028869591394377,1.4028869591394377,2.1857873123984954,58.584068738127364,0.0034496630399378204,0.28064673412965385,96.73093245370744,0.0002959006813947668,5.451090679387408,0.0001889191432075991,0.0012261172868051379,4.470290875335584,264.6711867469446,2.0770036975256065
