phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,furan,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,3-methylfuran,oxirane,h radical,hydroxy,hydroperoxy,peroxide
100.0,0.00035,0.99465,0.005,0.07328433276385009,0.00043178288976809164,0.13783373906240115,32.50517373705766,349.2442841488171,6.828933899368945,0.0316199126564992,6.306191591209826,0.7423981820700174,0.033466774074088684,0.00003479936431012981,0.0013472029097399215,0.002947911910251505,0.14717745836369586,2.7163272513197287e-6,0.000035739586610049386,39.65488327644606,4952.823578158942,0.000013351580582195157,0.000015053626416751744,0.000015053626416751744,0.000010546862349170176,0.12956925540558817,1.445680486612729e-8,0.00009398309578442673,0.012880332386073457,8.445050902922514e-8,0.00007142100788009071,4.814981132655836e-6,2.4320360991989136e-7,0.0033994869879050253,0.09582410797503911
12.0,0.002916667,0.992083333,0.005,3.252857184931931,0.16943019611624274,6.530157252139446,47.607331316977806,2892.5271773302975,32.57513478973683,1.3144827386135618,20.446898723715943,22.952000178503933,0.28195859536407797,0.004395172492986025,0.03727589338619241,0.4246433026187476,6.502282293347289,0.0006136484754774183,0.002029382778391426,90.51223648614966,4866.8499093897435,0.00046284216006958187,0.00066463149915838,0.00066463149915838,0.00028988450275966524,1.880214677149184,1.6139875093638178e-6,0.003308974240142499,0.7687637543315146,4.742479960008478e-6,0.006084205054020755,0.000022255518754550458,7.608756770548921e-6,0.04962751189812374,1.4080894317211268
6.0,0.005833333,0.989166667,0.005,9.768849987397246,1.064868978664506,20.06335192450681,57.989485077586124,5763.904294797898,52.11240494664163,3.5566257593038992,22.785453381725823,65.1394689661173,0.3093877135001495,0.02196705838463486,0.15859034062298466,1.3466400918385943,16.56157149509491,0.003883915593495524,0.007048305598248366,140.4510008675359,4776.796855145331,0.001587213961236938,0.0031264136643816927,0.0031264136643816927,0.0028767718849780173,4.511749895013749,7.95531969501838e-6,0.009647984256886568,2.489090173326455,0.00001578362879035751,0.026845897064384183,0.00003483569535537242,0.000021874984692771066,0.12150187880045255,3.5104680987763675
3.0,0.011666667,0.983333333,0.005,31.625258652135905,6.466026890415049,58.78016379470717,74.05721296963173,11468.17918254787,86.21577812364875,9.657958761944382,23.03600461581434,180.37443722616578,0.2576202456421044,0.11506633347886241,0.7857874272896792,3.4018186004806936,36.28078895662224,0.02699174799762278,0.025137085753474092,245.14213805227183,4572.591384678512,0.005465458451293355,0.018444648647432296,0.018444648647432296,0.03566633244784646,10.567995105619165,0.0000487868705761997,0.026920573248904782,7.563492471884728,0.000052595673806300815,0.12450088806566202,0.000055926362557284534,0.00006246138519127495,0.3011632225870736,9.06855790457524
2.0,0.0175,0.9775,0.005,64.35790455900703,16.790719767444795,98.69397554226798,85.74962406873128,17146.193131983186,116.36171229263844,17.790939648138036,23.019038307475466,311.5129692186319,0.22163032788382647,0.284867883745237,1.9540029694192418,4.960874704872952,53.21798525196378,0.07555753336677731,0.049774240234994487,341.4564022781442,4368.549421203784,0.010375647542540237,0.0494008608834909,0.0494008608834909,0.13214750799327324,16.3342668279796,0.0001385083823727791,0.0460965102678358,13.404529428103801,0.0000993311654698047,0.29157416191538166,0.00007310475554484323,0.00011139434061494475,0.4957607928253609,15.557585224305404
1.75,0.02,0.975,0.005,80.89370768204456,22.360155337552,113.67916570265187,89.84813091199513,19577.024809345217,128.47916970183564,21.74407675042887,23.098772077027466,367.8693140340232,0.2121724160010895,0.3754373641310224,2.5836702340621462,5.440774598820361,59.69754615708579,0.10231033542843887,0.06102215883239866,378.08254351729965,4287.117590633861,0.012541448665666324,0.06649778531810445,0.06649778531810445,0.1928887913550189,18.57096762580787,0.00019076553261911198,0.05424828840434458,15.879687708753407,0.0001198914480075946,0.3796117230534958,0.00007957326304512096,0.00013328846860963955,0.578823715970628,18.481181084200653
1.5,0.023333333,0.971666667,0.005,104.61209435991613,30.520898750816986,131.17555594156542,94.72310946813464,22818.03983296135,144.05844104091753,27.296344253735214,23.26791377165513,441.4699372845587,0.20331339779972593,0.5078026334672441,3.5062212329770133,5.935299289334608,67.71276435284479,0.1414705096827707,0.07599804522034351,422.57630431376157,4185.423051232654,0.015389085834933145,0.09189761670101552,0.09189761670101552,0.2874600488329552,21.32360715165188,0.00027062419605303174,0.06487135498228103,19.06915837929558,0.0001466796703751862,0.5085326797157749,0.00008757832195184528,0.0001626446699340669,0.6878092420674315,22.461969171078152
1.25,0.028,0.967,0.005,140.07579984724325,42.87329633901819,151.07307486849749,100.69992277245987,27357.461795897045,164.85501205910862,35.37388580494679,23.580675592224125,540.3042413105343,0.1960132453773258,0.7081142212470861,4.9014634647663655,6.408550960552452,77.85941424178836,0.199941123496157,0.09626955962069225,477.35389893429635,4056.150527488499,0.019215761887479216,0.13107105290813598,0.13107105290813598,0.4368085841661358,24.765945190325684,0.0003968641394210045,0.0791553682424674,23.27322364646896,0.0001819829088266436,0.7055404706983934,0.00009783921745086681,0.00020339690950300598,0.8359720478018886,28.14323582257709
1.1,0.031818182,0.963181818,0.005,170.30719157865158,53.41054711326101,163.8368431281114,105.02942103322167,31074.515385791277,180.99760709044963,42.06139752463335,23.867258770475157,616.9932364923749,0.19308477660027276,0.8792740513979124,6.0899972215448095,6.654236945644729,85.31874733562046,0.2486284946354249,0.11188220159195103,516.5672221024638,3960.9473455868197,0.02216163073261258,0.16519999532627833,0.16519999532627833,0.5659120274905483,27.263943499016595,0.0005081332649094678,0.09028344454874916,26.475796395940616,0.00020845528172439045,0.8763989000930251,0.00010556482799305547,0.00023604800796707967,0.9529020055605146,32.849365652088366
1.0,0.035,0.96,0.005,195.94058838539272,62.29571910358581,172.43243835075504,108.32457163960991,34174.577300402736,193.83174229618828,47.59304539016234,24.10993253431249,677.9350964613385,0.19210310715256296,1.0238601633928968,7.090969552355526,6.7868737121657325,91.00476324460966,0.2886500484374587,0.12409393588854487,545.9720762134785,3888.1724282223513,0.02447182153404659,0.19452466881200423,0.19452466881200423,0.6741326610497789,29.153147504801616,0.0006037447365887559,0.09916041651774696,28.986740499620364,0.0002287223996368494,1.0228032235365494,0.0001116044174376545,0.0002626246641205137,1.0472781231589912,36.79176110551623
0.9,0.038888889,0.956111111,0.005,227.4625663123967,73.12201518253887,180.8281400463729,112.01743808963036,37966.925239775264,208.73211385210647,54.22389427926507,24.39801874205251,748.8039801899197,0.1922016895293438,1.2003190703818896,8.30947019558411,6.88137198064665,97.34938252237514,0.3360016881769794,0.1379716587689412,578.4445598662599,3806.5122894934684,0.027106347125812103,0.23098440239569293,0.23098440239569293,0.803814647884086,31.252501476126444,0.0007217860111647639,0.10951787212752169,31.87242204442808,0.0002512671361503097,1.2042438142773966,0.00011853711942271582,0.00029422130723032305,1.1588343153170926,41.61770823371691
0.85,0.041176471,0.953823529,0.005,245.9793336754491,79.41917500580922,184.84321414228702,114.03368921829275,40199.51700042318,217.08644129583803,58.03190056229973,24.55912508795181,788.6831657094515,0.19276188988345963,1.303062223989437,9.01789851127742,6.909508104811953,100.79109742627625,0.36278469400813873,0.1455898483343423,595.9817650941349,3761.8857583834024,0.02855677681703342,0.2525834279504452,0.2525834279504452,0.8777117006260494,32.390758189324686,0.0007909910941034418,0.11535880449605143,33.48151833182135,0.0002634107141494043,1.3113538641935638,0.00012239738615372705,0.00031232381676408707,1.2225287574991572,44.45352786415983
0.8,0.04375,0.95125,0.005,266.7042049680971,86.40599516517678,188.65875168995186,116.17382858591928,42712.79347020383,226.11917751386576,62.21837874333965,24.730750205264158,831.9988584587522,0.19373115846479527,1.4171061222644885,9.803925259391464,6.921653887952793,104.42209036698767,0.3918172749718558,0.15368203187120247,614.4813702102106,3714.4441312248655,0.03010018728335442,0.27690497340165793,0.27690497340165793,0.9581195924189417,33.593946188552266,0.0008680892937787433,0.12170934316356201,35.218352283430384,0.0002761181500330938,1.431560292831546,0.00012655548401607669,0.0003322464614379729,1.2925085915606918,47.63627552675455
0.75,0.046666667,0.948333333,0.005,289.97857402934,94.16979501062922,192.1998405176261,118.44450369928776,45563.23411823118,235.88906759700455,66.82549760720072,24.911330823527734,879.1752550529123,0.19516950473360997,1.543838509647638,10.677764306172577,6.914840127449328,108.24658642138075,0.4232059842416474,0.16225358927814137,634.0265403870283,3663.9495444185523,0.031737074794617647,0.3043932907445703,0.3043932907445703,1.0452924826901546,34.86693398192862,0.000954004914287938,0.12862825203355815,37.098140581849066,0.00028934926198401976,1.5668225019242252,0.00013103924333250045,0.0003542500720453465,1.3697153067959318,51.228842568566556
0.7,0.05,0.945,0.005,316.20641970006636,102.80806786925096,195.3745600602528,120.8498276167492,48823.531114479156,246.45325001135086,71.89875084875715,25.09816837838725,930.703986978581,0.1971446344750838,1.6847708357024425,11.651165315586203,6.8855886186525606,112.26463307842742,0.4570134495119266,0.17129526789507823,654.7125388657157,3610.143636700964,0.03346411986148844,0.33557995482334096,0.33557995482334096,1.139335885659287,36.214986150708405,0.0010497273139903533,0.13618057375418174,39.13863373910525,0.00030302993444185507,1.7194070420713745,0.0001358761017067397,0.00037864349350113304,1.4552837895231006,55.30938563403534
0.65,0.053846154,0.941153846,0.005,345.8666561693769,112.42811528089935,198.07003616704537,123.38936267729643,52588.85253407976,257.86241888072647,77.4860976960423,25.286941712059754,987.1568022546433,0.19973258750266823,1.8415047533468596,12.737682259938703,6.829842781358101,116.4699591182831,0.4932290609063377,0.18077503300762174,676.6501042298439,3552.7475403406893,0.03527194351285807,0.37110188761726715,0.37110188761726715,1.2401222355229289,37.643791590735084,0.0011562873363792391,0.14443720418641803,41.36067121037187,0.0003170374977728808,1.89191671149901,0.000141090685138198,0.00040579408866206826,1.5505937659493878,59.97604884638682
0.6,0.058333333,0.936666667,0.005,379.5277471923613,123.14521743587645,200.14752744291164,126.05496652376668,56986.2301616407,270.1528368408044,83.63625684622853,25.4710285444081,1049.2009752667534,0.20301849042204556,2.0156603370712065,13.953018113199846,6.742910031117939,120.84700840369413,0.5317254791555946,0.1906260190730743,699.970464343018,3491.462808358499,0.03714174015936311,0.4117217702226305,0.4117217702226305,1.3471728117898307,39.15948706503404,0.0012747156055626086,0.15347351010511254,43.7888971201099,0.00033118028430099923,2.087302867256689,0.00014670068748981897,0.00043614084494317837,1.6573380551124668,65.35348851542004
0.55,0.063636364,0.931363636,0.005,417.8654096079295,135.07821351899125,201.43637530919983,128.82592260209714,62189.0874431789,283.33348818574336,90.3957467801625,25.64057052912964,1117.6191376307272,0.2070978476149278,2.208742360251942,15.315515947153303,6.619437577261468,125.36696836027694,0.5721950978425263,0.2007288967349021,724.8333318179258,3425.972692131287,0.03904027234368037,0.458350099299833,0.458350099299833,1.4594978487609924,40.7686792970576,0.0014059772876469311,0.16336637570066684,46.45273688514575,0.00034516940490932784,2.3088427705717423,0.00015271009972186373,0.00047021130067683987,1.7776153695552424,71.60210052389561
0.5,0.07,0.925,0.005,461.68481751098943,148.34040963623636,201.72664873828097,131.6614542929414,68440.47697790051,297.3655205836972,97.80407134344439,25.781201585024288,1193.3361785214581,0.21207948712944868,2.4219064776237946,16.846932527256513,6.453461649226938,129.98263093267227,0.6140580740790403,0.21088617702711743,751.439979542515,3355.942734259811,0.04091247388272799,0.5120664916458306,0.5120664916458306,1.5753879367404229,42.47843924216756,0.0015508789407382786,0.1741885705159691,49.38778987730514,0.00035858020628211167,2.5600467434089187,0.0001590982768104682,0.0005086441959973822,1.914058438264393,78.93134322939221
