phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,oxirane,acrolein,propanal,cyclopentadiene,cyclopentene,crotonaldehyde (trans),crotonaldehyde (cis),benzene,4-pentenal,"1,2-epoxycyclopentane",cyclopentanone,cyclopent-2-enone,cyclopent-3-enone,H radical,hydroxy,hydroperoxy radical,hydrogen peroxide,toluene
100.0,0.000325,0.994675,0.005,742.8968042504428,3.7568782765369013,44.023868833489956,437.1295847743655,24.506489200590615,327.7974737704086,97.7833461228091,9.57034293920131,1.4782932199162555,0.45103309751758663,0.9300275481567466,7.765757588119841,2.7349986389914815,0.04856006506558483,11.553843110628888,2.065430029352998,0.6347477943067529,0.07575092859640746,0.6410427957661546,0.6410427957661546,2.376375823057932,5.327223776746428e-7,4487.1501378344765,0.06631872224933254,92.00641118626665,0.4937117008445808,0.004225483808261569,0.0000745335119771034,0.026734880520844308,1.4782932199162555,0.0010456309178257033
20.0,0.001625,0.993375,0.005,2663.519281326758,26.291440346140853,142.01167015600356,1084.7349990192643,257.670579500656,796.5985018534939,266.59986231281573,26.302743306922224,37.13250724823207,0.520629173895102,28.541104452926003,7.689263829691379,5.151341492878451,2.0311335583208643,30.479576022035122,10.35951205388928,0.09112093202636891,0.03721256740196759,2.436932678654028,2.436932678654028,0.8280109953493214,9.01815597760782e-6,3671.6178062207327,0.8381485478051636,127.55580046676208,0.9957430661439134,0.008582282830304459,0.0005128212767180597,0.6256219615545999,37.13250724823207,0.0003578181246101447
10.0,0.00325,0.99175,0.005,4312.465943280055,65.91817707690312,205.89412775009674,1412.3057956920215,669.4690689656825,1078.8225041261464,382.51547592282844,30.315137544747984,107.71497311353056,0.4822700479796606,66.92283054064359,8.148644447755661,5.813625936389799,6.468732557292712,40.576957768387324,13.445107941308617,0.033000343382607565,0.021602716943829797,3.6676098690817565,3.6676098690817565,0.4702852603131393,0.000025480592175364534,3043.442065214119,2.261730949083139,157.81296263867964,1.374218699730064,0.010062872566372791,0.0012765987427517478,1.7228626204183608,107.71497311353056,0.00020007284270568134
6.0,0.005416667,0.989583333,0.005,5782.97191157534,123.85771899203968,236.6067964000968,1527.302247394579,1494.2648722183244,1269.1752149327492,475.5541514801003,25.54380186843927,214.25410736179765,0.4878061677751398,88.40566601845684,8.60301252652489,5.623142375187856,12.407767792814324,47.43685731282314,12.15606910763386,0.01520279626726885,0.013078625591189417,4.438908189742237,4.438908189742237,0.26061722297055706,0.00004268706172608782,2521.357163200412,3.896553871173674,188.29226616772448,1.7750768171006297,0.010238467557297872,0.00234242188872022,3.1691843945455243,214.25410736179765,0.00009423761743107831
3.0,0.010833333,0.984166667,0.005,7148.033091512024,201.07756680802285,198.51632016894854,1360.5827113303565,5207.071347792323,1340.357417435375,559.4229369665259,13.878720856670258,413.92818222820415,0.5200523033250322,69.58502429769915,8.39439513050992,4.20394901692308,19.187693238634175,57.09610311714789,5.3034880510813736,0.004693041766064475,0.00448536997719732,4.722585918574505,4.722585918574505,0.07654718007771363,0.000050849592574521143,2034.2009676623672,5.492819127675038,238.0329313273199,2.568341378563321,0.008674609861065557,0.003977948270473851,5.323466620771509,413.92818222820415,0.000016528266857382168
2.75,0.011818182,0.983181818,0.005,7233.378160468355,206.9518577278464,189.8968203619791,1328.1327429939097,6039.077548572081,1330.8500695177236,564.185497475423,12.792207899233548,436.52271891301586,0.5184576914032757,65.57637628264271,8.22006071852702,3.9843497779607664,19.52988119709462,58.490102910834054,4.575067524672512,0.004058102468650782,0.0038979145124762083,4.688742494909982,4.688742494909982,0.06456327398378603,0.000050010876107172,1998.7954476151965,5.5674671211081375,243.82687499948238,2.6796669355950575,0.008428076751809328,0.004135689481039866,5.526916802372293,436.52271891301586,0.000012957712060092154
2.5,0.013,0.982,0.005,7309.048549820096,212.51460107451848,180.43644876555982,1292.2258531060036,7068.190974480334,1316.86896953104,567.9477711981843,11.719313122296823,460.0832477882624,0.5143406742076613,61.39017162777556,7.992583344311047,3.7441014511250246,19.780345473247117,60.09271624225292,3.8726162103591846,0.0034706048186968434,0.0033583048982814777,4.642611290177452,4.642611290177452,0.05358213813329965,0.00004878017593543946,1964.7940699242668,5.621364995999907,249.92367426339408,2.8007005515325867,0.008160354376875654,0.004294011639392593,5.730558090997772,460.0832477882624,9.93570768489324e-6
2.25,0.014444444,0.980555556,0.005,7373.591105112485,217.76868754992512,170.16568322554625,1252.331367354866,8359.46285050671,1297.5512623628076,570.4280503216365,10.660058981122358,484.80730730055336,0.5070221207487455,57.10532538936309,7.702843661422004,3.481423462496132,19.92268048721299,61.968757494875625,3.208077372008448,0.0029309503864207937,0.0028682630049934074,4.585191427407561,4.585191427407561,0.04364372118231026,0.00004712434020559721,1932.09744298486,5.6507186112534775,256.3709113041383,2.931725712556744,0.007868193060915706,0.00445309355256307,5.934962355654712,484.80730730055336,7.427269851374897e-6
2.0,0.01625,0.97875,0.005,7425.237163440851,222.74403837398594,159.099401940465,1207.580931502509,10010.05124137399,1271.6790461608994,571.2428900748087,9.612312628460712,511.0471717818467,0.4957204386763349,52.799724581663014,7.340651344876323,3.194038434146228,19.936729654868437,64.21162935148038,2.5915501025682564,0.002439059385556758,0.0024280489593583436,4.51885522640346,4.51885522640346,0.034765823780007615,0.000045008159832215436,1900.4889949914964,5.650371036816264,263.24544964844716,3.0725767007234728,0.007546293527072041,0.004613777553551791,6.1416842913159435,511.0471717818467,5.387858732194718e-6
1.75,0.018571429,0.976428571,0.005,7461.692127444122,227.50826421847637,147.2205928518679,1156.6059304501805,12172.280618254395,1237.4538611197215,569.8373577375036,8.572394105583578,539.3913502502725,0.47950900422415127,48.548254516128985,6.8943371276775105,2.879049523849437,19.795760819662007,66.95943396589976,2.030979283899548,0.001994511835046149,0.0020368239694626426,4.448218997659352,4.448218997659352,0.02694844437306028,0.000042391630175652344,1869.586609084394,5.612711248458635,270.6637935536677,3.2221854209173757,0.007186426674396848,0.004777935878537209,6.3537163046473735,539.3913502502725,3.7674371919025827e-6
1.5,0.021666667,0.973333333,0.005,7479.797313044372,232.1908661918802,134.45575126832088,1097.2703152271133,15099.813532704657,1192.1123943225364,565.3522678026917,7.5358834398778916,570.8087021886766,0.45723359877138875,44.422680032094476,6.350085277750813,2.532850320694159,19.462170257641894,70.42279369109258,1.5321439549818472,0.0015967237952826958,0.00169307028481015,4.381813438240327,4.381813438240327,0.020179418649890885,0.000039225514283334985,1838.7463477342892,5.525725440649014,278.7939594973463,3.3776561998100827,0.006776044848427301,0.004949148395644078,6.576331739046249,570.8087021886766,2.514041398992276e-6
1.25,0.026,0.969,0.005,7474.9600574383985,237.04040191227602,120.63278664997083,1026.2006837303013,19249.33380318575,1131.2332137278956,556.3578850995895,6.4986519216452265,606.925643930989,0.427354207959281,40.49329942516348,5.69089073312473,2.1511685329141192,18.88124855651391,74.93509238793943,1.098950055304914,0.001245168526893075,0.0013949355026506853,4.335480032580277,4.335480032580277,0.014441150099216687,0.00003544338749411868,1806.863179600255,5.369274217582931,287.86323612154524,3.5322708839828496,0.006295923443075378,0.005134066846496556,6.818785238218485,606.925643930989,1.5765954426383804e-6
1.1,0.029545455,0.965454545,0.005,7458.268640101992,240.22403836313492,111.69630637549665,975.7741538602365,22671.285713750705,1084.3545150261652,547.8048462957214,5.874799979845347,631.9613527327435,0.4048897069912624,38.2593635286299,5.23140443814217,1.9032499818549442,18.382234052520847,78.36148860941351,0.8716673063620302,0.001056332748673238,0.0012370475707431437,4.329005094088495,4.329005094088495,0.011486404892856437,0.000032839149168454304,1786.460345331938,5.228155574741829,293.86577259254,3.6189323830654803,0.005962483431204766,0.005256474084783246,6.980311645308279,631.9613527327435,1.1455632403112054e-6
1.0,0.0325,0.9625,0.005,7440.151042074877,242.57065732036435,105.39975902757514,937.9095425621407,25535.09765756828,1047.4038989907924,540.2813629971238,5.458156964609433,650.6087149556071,0.38763050807802635,36.83117538966875,4.894982446141272,1.729572613905232,17.973977308555906,81.04710346689752,0.7340415965373764,0.000939690809864227,0.001140126661801427,4.339746655994067,4.339746655994067,0.009718974228218415,0.00003094543596613215,1771.9334806096301,5.107368561428965,298.1319001908522,3.6708605154343776,0.005715892992148877,0.005345422551157639,7.098041509287704,650.6087149556071,9.068712734735136e-7
0.9,0.036111111,0.958888889,0.005,7415.513995513317,245.19950461796967,98.77244517782682,895.87434560144,29046.234858545824,1004.8011466079618,530.8747565956844,5.041010355334554,671.2805286060196,0.3682490399141292,35.45702180353612,4.532204280519369,1.5490255076710255,17.497310136702133,84.13276324378229,0.607709516170962,0.0008305305163456618,0.0010494860330144292,4.367828802772698,4.367828802772698,0.008113862915486176,0.000028911596968926615,1756.3343921346673,4.959379986203012,302.61373341504424,3.7150772287940605,0.005445799140926079,0.005442461923709875,7.22665172819124,671.2805286060196,7.038828426068875e-7
0.75,0.043333333,0.951666667,0.005,7364.092235087345,249.99075778195163,88.05105051714229,823.0648558899971,36093.8842675421,927.4988776685515,512.0657979986157,4.414720024077956,707.3320659484011,0.33446051916355163,33.505061142078986,3.9337532048001265,1.2655851860124436,16.641822377546987,89.70849461768756,0.4397993279191618,0.0006811559537395412,0.0009239230519142809,4.45715912537746,4.45715912537746,0.006013955741150231,0.000025561543421212127,1730.0113491983755,4.6706056481671725,309.68460846146957,3.75798058165551,0.004986578603362041,0.005609432971731308,7.447874948301376,707.3320659484011,4.6059199294819287e-7
0.7,0.046428571,0.948571429,0.005,7342.46468040583,251.9269189381951,84.22002941495293,795.6299603814699,39121.936588710174,897.3318851513455,504.1757201305233,4.205894098510646,721.0873781764527,0.32172587030544153,32.884575529288156,3.7185893401156633,1.1679842354368049,16.3184601061247,91.87611070337694,0.3897048991118216,0.0006353337473524475,0.0008842948109501177,4.504176373680249,4.504176373680249,0.005397571860856493,0.00002435401545469406,1720.1681741195396,4.55163148837226,312.09604613973306,3.7630501781400847,0.004816202836952248,0.005672816478096361,7.531700156422387,721.0873781764527,3.945477335049871e-7
0.65,0.05,0.945,0.005,7318.280272117093,254.10374476926128,80.23387582251704,766.3210079855717,42620.231460345974,864.5335641353779,495.27126423702487,3.9970493253583728,735.9328487199343,0.3081448326147345,32.27902915858135,3.4950695499184197,1.0690347878466944,15.977519301919255,94.22655902553022,0.34260930875402107,0.0005915938611316991,0.0008454067807279221,4.56241061469274,4.56241061469274,0.004823993195849618,0.00002309516205136405,1709.6286457797141,4.418604908797174,314.50139818436327,3.761757727703944,0.004635691785733899,0.00574121830425775,7.622014576833168,735.9328487199343,3.35517642709072e-7
0.6,0.054166667,0.940833333,0.005,7291.320377237536,256.5839369649568,76.072674398043,734.926099364424,46706.59630204857,828.7901125197018,485.1944087920329,3.7881548894111186,752.0435087421286,0.29363791201942135,31.68780372698761,3.2628985742520253,0.9689510166166176,15.621858341489466,96.77939716882248,0.2985555795912752,0.0005500318689441968,0.0008069158649413627,4.63387789985157,4.63387789985157,0.004294096814562743,0.000021780584504698946,1698.2660298185747,4.269464055596225,316.865141845888,3.752687081449263,0.004443964854720564,0.005815562594937148,7.719977183504895,752.0435087421286,2.831996320991764e-7
0.55,0.059090909,0.935909091,0.005,7261.342981115566,259.4513718133636,71.71321274583438,701.2027096383719,51541.79278577257,789.7451177648392,473.75626917446976,3.5791256807525884,769.6344840952397,0.2781157432444031,31.109686932227323,3.0218157145726554,0.8680314186820712,15.256764398301462,99.55566896253218,0.25759037384271705,0.0005107871155428116,0.0007683593480173109,4.720993567145032,4.720993567145032,0.0038089974180371723,0.000020405198102006528,1685.9271082647506,4.10176695598191,319.1347787886637,3.734082898801081,0.004239777046087565,0.0058969872427954125,7.827022063349111,769.6344840952397,2.3729283682284263e-7
0.48,0.067708333,0.927291667,0.005,7213.787643042989,264.3431083347271,65.22465625131414,649.5391809889605,60015.7696414254,728.7604110653878,455.01685455554764,3.2858944747223773,797.2733767299763,0.25448827518279754,30.318123223897427,2.6689806121981787,0.7261463414964135,14.748444735156122,103.85957403411845,0.20552032708865176,0.0004601579251914451,0.000713043529109869,4.874880464689891,4.874880464689891,0.003207857487121806,0.000018366234948328964,1666.6501305917243,3.830207373707036,322.00046520291716,3.6877498101182598,0.00393017163865028,0.006025631434645369,7.995657581764552,797.2733767299763,1.8321889951427206e-7
