phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,furan,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,3-methylfuran,oxirane,h radical,hydroxy,hydroperoxy,peroxide
100.0,0.00035,0.99465,0.005,0.03414285856222582,0.00013895097066611906,0.027326507337997033,33.09973146215365,349.4999801818249,6.592075749434674,0.020864294892703923,6.2551878148219116,0.4575199743024535,0.034519179417525456,0.000060468986842997725,0.0018196547560101598,0.0005971090837395265,0.039913888246688206,2.6617992413865267e-6,0.00012383653720577425,39.651667826466294,4953.085255424895,8.422882941618619e-6,0.00006543204051169275,0.00006543204051169275,4.348558234587496e-7,0.06106020074761806,8.319332413884647e-8,0.00001607077347908525,0.0004765940618544523,8.73645905568251e-9,0.000027826161420323415,5.467916032836002e-6,1.7003790992341114e-7,0.0008277072092344915,0.020807093625058976
12.0,0.002916667,0.992083333,0.005,1.3414330662636822,0.03347490642035169,0.7817430030888459,50.741912112692305,2901.3533095592084,30.653725340484467,0.7557080304231126,26.401660391336655,13.83063033133998,0.5050940799084326,0.0040824726207490305,0.0319640961057299,0.06967682961782022,1.3881988969796621,0.00035484027969949163,0.0046442849374991714,80.72014569881209,4875.836180724616,0.00006947594190275105,0.0019665557338980136,0.001966555733898013,0.00006762705371636563,0.5043493609067519,7.494174819422688e-6,0.0005616311492162807,0.025498143103650086,3.961258994389611e-7,0.0015122916939379562,0.000025678957095763212,5.1959308024647935e-6,0.006890238290424361,0.17176732450688917
6.0,0.005833333,0.989166667,0.005,4.473034407758927,0.20185517080271057,2.1421608623821706,63.990724448320876,5785.941397460629,49.17651754361912,2.305709253785701,38.072498513364714,42.65408377696609,0.9912745526260143,0.019879101213225288,0.10740197666723522,0.27344914853866037,4.415454363140582,0.0016340783921596738,0.014235682976661496,111.21084086648823,4801.13473116174,0.00014486286429269988,0.006064014964831908,0.006064014964831908,0.0006451764991281647,1.1017211372705045,0.000031278044185721076,0.0017212891122158974,0.10241076329260396,1.339098994216918e-6,0.006063393086176329,0.00004140518189025851,0.00001620882808419368,0.015298821034725858,0.3795409154653568
3.0,0.011666667,0.983333333,0.005,16.17756594396178,1.2549402895127109,5.6870170864236895,86.28152629271241,11515.095564857107,82.07164182727645,7.0384201249585825,50.75498085192767,135.4832740540408,1.6340371916534713,0.1108223376842763,0.44242433906400913,0.9715409076754372,14.627590649206287,0.007615791805171598,0.04395019725344685,161.8699824755083,4636.095722992537,0.00032492139001976436,0.019487242713762693,0.01948724271376269,0.006945022205820445,2.619881142410093,0.00013360227242724916,0.0060374018381000715,0.44961758675709634,5.126525282699226e-6,0.02832464553593973,0.00006952752896626893,0.00005291137180421235,0.03808206584273019,0.940600959822955
2.0,0.0175,0.9775,0.005,37.815697498968056,3.931441727687234,10.16190612353007,107.99374142544265,17186.396480836866,116.71315834669056,13.899717425621594,56.43383805213908,277.93575779588735,1.8951062875225844,0.3257092877762145,1.1846180224475888,1.9663526119772405,30.512094136408315,0.019961178405852216,0.0907125690149247,210.03256207885033,4429.8270136955725,0.0005648124760054146,0.04136849851868592,0.04136849851868593,0.030593163165543388,4.5898896691577304,0.0003327285470437919,0.01475724532516135,1.162838654156307,0.000013053590192827864,0.078268441690343,0.00009973567035334605,0.00011259561774783123,0.07109154060748532,1.756903827857186
1.75,0.02,0.975,0.005,51.59207903619888,5.888619756276817,12.43098411656681,117.6706915179524,19595.361943949712,133.05833923147418,17.62098889341556,57.426515116530204,357.01302193069665,1.9091830766783298,0.47222821847184665,1.702300160152846,2.476720268715764,39.18622137789496,0.028122314050628427,0.11820265717841126,230.89769727201778,4324.519965902144,0.000693214745788824,0.054516677172308445,0.054516677172308445,0.05156478547700589,5.5814131265570985,0.00045727891673773974,0.02059758773189312,1.6273602831981038,0.00001857302760035024,0.11255993153521762,0.0001143669087242753,0.00014748733082571935,0.0894557307287139,2.2146232011171207
1.5,0.023333333,0.971666667,0.005,76.04461873337499,9.653339922519741,15.914672887709969,131.0997720782424,22782.449224588352,156.76583254217087,23.52554921432222,57.6110761116644,482.6362170669871,1.8497275625659007,0.7350439730081642,2.6644506341023395,3.2418951288467412,52.59595031749329,0.04285223800453914,0.16459581972450796,258.9805912526133,4165.008386418466,0.000895085615155659,0.07740541141395979,0.07740541141395979,0.09759609577752051,7.0483014887305915,0.0006664791293823963,0.03113855352480246,2.4441584001263044,0.000029095095538259363,0.17545751207974972,0.00013616546474051275,0.00020559098101764132,0.11923099808059863,2.963589649432837
1.25,0.028,0.967,0.005,127.0085981327442,18.26077702707066,22.06529425886191,150.90982090230338,27186.056920976665,194.32430221986874,34.21041360797053,55.86361008482008,704.2401680556554,1.6419270513660469,1.2692618195595602,4.723153860921834,4.498045451336959,74.86569671414078,0.0739998661248907,0.2550874344886961,297.86424845904514,3899.762617837655,0.0012494844295517207,0.1257833004343612,0.12578330043436123,0.22245068219550293,9.385329966752458,0.0010403633271889995,0.05283797664802892,4.067957262141752,0.000053579557399103595,0.3097133972092339,0.00017237564665228166,0.0003165548543569305,0.1747470021876201,4.385628231982393
1.1,0.031818182,0.963181818,0.005,189.92773883525308,29.80230684499883,28.760872062663775,167.60091853584808,30727.75849412034,229.18938417219394,45.860378258388806,52.893078272049664,931.1324819947639,1.3989828404401539,1.891262671035217,7.192559152317148,5.704159411450703,95.5334568200349,0.1128821998367305,0.35917271775139203,327.23129229010993,3643.9544737077495,0.001611856752151849,0.18956193988688438,0.1895619398868844,0.41948413496573916,11.525544106815515,0.0013870659620743061,0.07812113208177121,5.901282781744319,0.00008813380979294939,0.4770279132431694,0.00020809372463536816,0.00044234314564710553,0.23730848465302018,6.031346847333842
1.0,0.035,0.96,0.005,262.1897188757351,43.93702725689047,35.93476666792432,181.2065189901983,33632.67526421526,260.8640049853006,58.173736131352676,49.61479344216745,1152.2386642673478,1.1806493987119442,2.5615735680515206,9.797678457981785,6.821253985784462,113.37468217009607,0.1580522184619116,0.47099055781902516,347.73712703210816,3407.175647816439,0.0019633893772485807,0.2695371264458363,0.2695371264458363,0.6924754857694684,13.41809081889271,0.0016567113213944123,0.10474398649391047,7.790357464785635,0.00013347129746462072,0.6698295425435468,0.00024242630672992449,0.0005780496430416656,0.30570637708844917,7.88424818792176
