phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,cyclopent-3-enone,oxirane,h radical,hydroxy,hydroperoxy,peroxide
100.0,0.00035,0.99465,0.005,0.03153048609013208,0.000030179028411343303,0.020934018612511065,33.042767222770124,349.80403260033614,6.63718176852213,0.020981985309667002,6.301567063595588,0.17037452041823717,0.03503429378340637,0.00013531205946964455,0.0018898107973111832,0.00044802130448121287,0.03552499753432258,1.1782238171083113e-6,39.646261862579976,4953.363392707599,8.245784861007205e-6,9.916189525257693e-8,9.916189525257693e-8,4.4432257102433865e-7,0.05853456869206646,8.140083098311695e-8,2.994056693853e-8,0.003604808025602923,3.341301599544037e-6,0.00002445741872885875,5.403050511958723e-6,6.330831253891739e-8,0.0007933238870442892,0.019942220968419588
12.0,0.002916667,0.992083333,0.005,1.1623177389204946,0.0010442513160805135,0.5757768615753277,50.60384216290547,2913.2175343720164,30.82469904950153,0.7273529472143819,26.94414269555449,2.534706393127827,0.5345687768060365,0.01891904674090539,0.022452420185806943,0.05159737869359928,1.0822841076454806,0.00010284745613936356,80.92240052125088,4887.248754880384,0.000063883299439105,0.000018110424296379357,0.000018110424296379357,0.00004945784317679716,0.4089774259040772,7.2440549266200976e-6,9.838814189516207e-7,0.11406520364968238,0.00013756760676958727,0.0010402491029647182,0.000025389349821241958,9.497320485696103e-7,0.005551309708377014,0.13855872900197405
6.0,0.005833333,0.989166667,0.005,3.5778988554759157,0.0032208130416977033,1.5516799634646925,63.955461887251964,5823.94186788731,49.16201471674166,2.1388951298943883,39.812210458625906,6.597587304796623,1.118505413312884,0.07855515528897006,0.06590990504099632,0.20238781328021543,3.1065610268790946,0.00042956141367671703,111.76270031659874,4837.342669007025,0.00012294682046645983,0.00011176724514846628,0.00011176724514846628,0.0003869330727070169,0.7819010711124876,0.000030365349918750867,2.8433214471998514e-6,0.3386469594868816,0.0004926080322384137,0.0035759763010152746,0.000040813474036053693,2.4878123359544864e-6,0.010667896653558903,0.26565173336900383
3.0,0.011666667,0.983333333,0.005,10.86622399743551,0.01034200403382711,3.942795721781602,85.9261059388477,11640.606350519869,79.33144184942383,6.0795117220201895,56.32776363131124,17.6372154395529,2.147712178534797,0.3122293196222291,0.2247926444437815,0.7114032000518619,8.74003248381419,0.0017518017451969828,161.4216128411106,4755.537739013961,0.00023187873111113133,0.0007275720190706174,0.0007275720190706174,0.0032412697051008733,1.5135682514018323,0.00012631506522876193,9.177590780556175e-6,1.0081904947943217,0.0018492435049675645,0.013228907169746064,0.00006661245069195421,6.7198675062936e-6,0.020945585234978425,0.5225215919359127
2.0,0.0175,0.9775,0.005,20.948999954549304,0.021550288871629693,6.5867183043845055,105.96426547424994,17451.776881070007,106.84110339832485,11.086337489220535,67.51392674581096,32.080465372597175,3.014486282851446,0.6999316404846501,0.4956897658205018,1.398686571050918,16.03543720610189,0.0039976675071524866,205.5237860852964,4680.966308932807,0.0003377440483116107,0.002282951088647167,0.002282951088647167,0.011197633210701975,2.261594985422762,0.0002959643119210689,0.000021848386235166403,1.9448034149370725,0.004139066576775742,0.029897599510050176,0.00009059046409606701,0.000012338097132332952,0.03182117230237551,0.7993220923093561
1.75,0.02,0.975,0.005,26.113622012537817,0.027864958915647872,7.753306625270335,114.41592414369127,19940.610746635455,118.42839162024201,13.506449757941615,71.39372250425392,39.32514075527228,3.345969291343919,0.9166715079810042,0.6519722516199843,1.7286042890880295,19.6337909194243,0.005267413295577289,223.78616785386646,4649.4758841538505,0.0003841897887600488,0.00337136403186775,0.00337136403186775,0.016812295592397362,2.5926627512605456,0.00039471166285248455,0.0000305373700696883,2.430844592346116,0.0054436016282405865,0.03950437365491621,0.00010083244385017284,0.000015184355738665986,0.03675912883103065,0.9272291277880663
1.5,0.023333333,0.971666667,0.005,33.83109608530217,0.037991451412933176,9.322391789127717,125.73099684543467,23257.41633429974,133.91389216393648,16.972963055869307,75.96509298133394,50.03599182787112,3.756209061194663,1.257332188261056,0.9033574351375863,2.191360832980151,24.873399717091107,0.007276233450215621,247.92259050397615,4607.256911001398,0.0004482732232927685,0.005348079461806148,0.005348079461806148,0.026858143065037348,3.0466167717913737,0.0005543211224488464,0.00004661754722853267,3.164379273274867,0.0075269616330947645,0.05488742552416728,0.00011466508954148466,0.000019422840297626428,0.04365820178515958,1.1085792265920025
1.25,0.028,0.967,0.005,46.371056453497864,0.05614497706381835,11.526446566447135,141.86084493017083,27897.551632772876,155.91208274618367,22.2781973957723,81.46293266001263,67.22986150356013,4.276443112175965,1.8439491229302258,1.3492582500832304,2.8699953664128093,33.08539408071496,0.010760570176713382,281.71216802240133,4546.9180287704185,0.0005438338479607993,0.009416699825640243,0.009416699825640243,0.04675142644096044,3.710016672282393,0.0008393549651502808,0.00008126068163342568,4.371813432240403,0.011201953007261605,0.08190577386126514,0.00013462623999961352,0.000026296034620159848,0.05401612686642712,1.387117986680642
1.1,0.031818182,0.963181818,0.005,58.32569781680972,0.07534018212427485,13.323355738040194,155.46474357645005,31690.757525351568,174.37438922847295,27.01570844757062,85.34482323580276,83.43489901545205,4.659977473197946,2.4318693030039396,1.8086862676226148,3.4415908855184663,40.60900879596009,0.014272200123810095,309.64744008560166,4495.850545463334,0.0006286857459702675,0.014234193412249966,0.014234193412249966,0.06904974703809642,4.280353797952923,0.0011352799511924658,0.00012473082307126125,5.53668726890312,0.014987514057077303,0.10936482589026787,0.00015168776450679033,0.000032845465434582295,0.06319449054135934,1.640671080231764
1.0,0.035,0.96,0.005,69.62215481242859,0.09512113552615196,14.81039393361314,167.17272877408845,34849.23113005952,190.183492592911,31.247426886354784,88.23273669761345,98.60590776334664,4.952889693771133,3.006749770139372,2.2671077452993718,3.9233863039881323,47.47258864421164,0.017716257154101512,333.2763049008737,4451.74409476067,0.0007050898184053063,0.0195844603367266,0.0195844603367266,0.09249678209904769,4.776789958001402,0.0014325256715662146,0.0001756081755321491,6.646332240814776,0.01878113470058936,0.1363917763028459,0.00016654155284082886,0.00003903529978688245,0.07139999669714543,1.8730005640093186
0.9,0.038888889,0.956111111,0.005,85.33001818584937,0.12520976238155698,16.610438103918586,182.0407496206009,38706.045330481305,210.13739324467136,36.79203585078672,91.39443863181972,119.49308910591448,5.279556452883934,3.8295689979100827,2.935284058528049,4.513412255708227,56.654790106026795,0.022652844679664632,362.72767711805017,4395.492543404332,0.00080690711061563,0.028241635562909585,0.028241635562909585,0.12811337344905374,5.412267488439383,0.0018687166948000416,0.00026266643314143385,8.198824138174636,0.024358783838785803,0.17516594476880729,0.0001856375544950358,0.0000476439019313706,0.08221421485627739,2.187690092726627
0.85,0.041176471,0.953823529,0.005,95.68639438806656,0.1466562750499503,17.658949906429118,191.11819411874302,40972.71276717465,222.2461378585853,40.258779997246485,93.08456779814288,133.1389561916198,5.456032183143393,4.383465488447936,3.3913561481698182,4.858918594556649,62.49597777030497,0.025976094493227367,380.40004542608534,4361.001081196811,0.0008718331382024508,0.03468377304261112,0.03468377304261112,0.153119715107545,5.80205481242645,0.002168076876114265,0.0003306268514319747,9.22607912822312,0.028206121637202923,0.20124269857174873,0.00019742802930014074,0.000053319486750455896,0.08902927879624686,2.3911272796138
0.8,0.04375,0.95125,0.005,108.46734035866295,0.1748520321749282,18.82868829076745,201.66309829374907,43520.67354552557,236.23660579291396,44.35557717859755,94.84759303669917,149.84782377678363,5.640839783735017,5.076470062985631,3.9675905039736725,5.244612537100713,69.48849830372286,0.030130225286855848,400.6310795301599,4320.778861818907,0.0009499956162402428,0.043395712005719574,0.043395712005719574,0.1852967504662463,6.255803384692331,0.0025477892849504733,0.0004261763911607909,10.495691770391002,0.03311931461759118,0.23377636688371117,0.0002112534039816949,0.000060322018795452726,0.09714660297806352,2.6387435554242367
0.75,0.046666667,0.948333333,0.005,124.5966079259112,0.21311215927475033,20.141529394360937,214.0890301680242,46405.4394656031,252.61172199086855,49.27243428206565,96.67837112542546,170.7332246801799,5.832705053760665,5.962165475734631,4.711322390965305,5.676231433704244,77.9953896746445,0.03542907490153543,424.05234090926905,4273.150543073232,0.0010460184072737123,0.05552766829376281,0.05552766829376281,0.2275407764427192,6.790930180870384,0.003039686269955597,0.0005652169720717744,12.098127029498997,0.03955241700584274,0.2751415973292617,0.0002277275623129166,0.00006915384238980087,0.1069882088282107,2.9468646569717567
