phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,furan,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,3-methylfuran,oxirane,h radical,hydroxy,hydroperoxy,peroxide
100.0,0.00035,0.99465,0.005,0.0341738683330557,0.00013688555641261805,0.02649072243464135,33.05342369894332,349.4975741068834,6.655650772033266,0.021384517478676923,6.31682423506984,0.46070979440102267,0.03510323832484625,0.00006651244529750093,0.00194700540152489,0.0005788378528202348,0.03811594961721138,2.7152001287063436e-6,0.000030529214846428664,39.66817801485596,4953.006779840012,8.29355838599086e-6,0.00004956135317375303,0.00004956135317375303,4.3799584218972943e-7,0.06043357965195664,8.284608265204855e-8,0.000015887945509739017,0.0005566522548282819,5.438940946401844e-9,0.000026340393215288582,5.417479973657499e-6,1.7122564904497522e-7,0.0008192333594377745,0.02059383411845312
12.0,0.002916667,0.992083333,0.005,1.3320272522362913,0.03219491254759823,0.7450529251150563,50.53209297800337,2901.2681073834283,30.940592930060966,0.7692779018371626,26.69720919415605,13.946499813864671,0.5154822047259454,0.004451521950169346,0.030208056705610706,0.06690071278071798,1.3214398688427522,0.0003577945236146885,0.0010338095916740356,80.77845694355312,4875.4209691454225,0.00006796036397925066,0.0014957614716167914,0.0014957614716167914,0.00006616410145921406,0.49527966523738415,7.5333383481484825e-6,0.0005573102908701667,0.028792634385604,2.6439148974199287e-7,0.0014110534757088933,0.000025450017470630084,5.239860868396495e-6,0.006766429660849665,0.16864304585315879
6.0,0.005833333,0.989166667,0.005,4.473901040784923,0.1948899160852271,2.0437866496518162,63.74382429925718,5785.574091853103,49.72924203848312,2.352558734310775,38.63189126109339,43.08998536735064,1.018136159050992,0.021967287940727737,0.10080563422134632,0.2637613927531011,4.243693378211392,0.0016348210037703688,0.002600701696589049,111.45701832566463,4800.0200860588275,0.00014189425399415413,0.004647566947391822,0.004647566947391822,0.0006334683417793793,1.0832072540589102,0.00003184840248818693,0.0017202352935858766,0.1145720409422907,8.683314781161879e-7,0.005731130084326448,0.000041143198035698025,0.000016377799984716576,0.015044001439445818,0.37298365026164426
3.0,0.011666667,0.983333333,0.005,16.38432963899625,1.223983455133639,5.418317302253981,86.23500932713672,11513.156861073876,83.40307378768614,7.2294741660988775,51.871535829045406,137.4800848569814,1.7003511948554042,0.12296362003288255,0.423931472575254,0.9424835501916562,14.294793420130839,0.007485616349390321,0.006399892437489009,162.8535893954646,4632.233009308161,0.00032063649324078417,0.015305539158170674,0.015305539158170674,0.006905340520846116,2.5842038163815775,0.0001393718216763423,0.006133351403697135,0.5023364983778417,3.1419076099118885e-6,0.02746783538521957,0.00006955181115787882,0.00005372930116960362,0.037595751378254445,0.9269307350307981
2.0,0.0175,0.9775,0.005,38.88064639200217,3.893922403912923,9.648186805324023,108.68681471269223,17179.70385878204,119.57572390695337,14.414859465307337,58.147600297120505,284.2676920043844,2.0019193856502207,0.36345679328557223,1.1700476988425526,1.9186254074480864,30.353984700740764,0.019266812408451715,0.01220433065846929,212.53630980803277,4419.454301480553,0.0005646032157726509,0.03398372607229751,0.03398372607229751,0.030931948047773855,4.544096837308966,0.000357698074107322,0.015308525296236802,1.3120687114209786,7.665059815010379e-6,0.07778455102685213,0.00010084699432985691,0.00011538608028802994,0.07057931734044498,1.7383717481177319
1.75,0.02,0.975,0.005,53.541180583793725,5.892431920848847,11.792369089197113,118.97175057954533,19584.363756649276,137.03535374825225,18.383873560401238,59.38789848915718,367.12065701120343,2.030794364978683,0.5300195774453567,1.7101294458716942,2.4266097019632378,39.3570355243692,0.02696501834492478,0.01588979007281868,234.46215210885165,4308.941003672753,0.0006987575767638568,0.04610928387191965,0.04610928387191965,0.05272259413007514,5.53826691563081,0.0004997797815776709,0.021620995751014394,1.8510700425024866,0.000010754802559053986,0.11324931255502951,0.0001164342161099413,0.00015211664829224396,0.08916353520897925,2.198228164379785
1.5,0.023333333,0.971666667,0.005,80.29857731726214,9.850699625925737,15.113329864767927,133.66050587940632,22761.319885660756,162.9892304762529,24.819409184437742,59.8435689221493,501.38643359353904,1.9844996022613035,0.8351728174581436,2.75499629778788,3.2041491088733833,53.66435457916724,0.04084146888168866,0.022704372537245974,264.52895888505566,4138.241017813512,0.0009161883776248712,0.06897290349718847,0.06897290349718847,0.10202517953263784,7.023953010440752,0.0007480399498466822,0.03335260695204066,2.824169538655645,0.00001661896968628042,0.18018062378067548,0.0001403669456169387,0.00021471124715457344,0.11982173473785789,2.962777344001201
1.25,0.028,0.967,0.005,139.52238092261805,19.507999816249846,21.194799233488183,156.5734347436868,27133.85301515257,206.18891104131094,37.037804921483605,58.15626106749192,748.4599836212506,1.7701197272354399,1.4835876974212932,5.173690806096803,4.547523134915589,78.70674177951439,0.07064367027979067,0.03832746824101119,307.5275271566983,3842.771524639394,0.0013231005267426205,0.1248515413488752,0.1248515413488752,0.24551833968193326,9.449050372548664,0.0012218922930152425,0.05893607843952849,4.867326104926949,0.00003044296522957466,0.3318331312544195,0.00018261610309512876,0.0003404789686244364,0.17953317186550952,4.477912933408382
1.1,0.031818182,0.963181818,0.005,219.67002663859856,33.86658296407978,28.383460100700795,177.4454608274274,30620.929162479217,249.30713720996272,51.42569909994219,54.63212432240183,1018.0359159912564,1.4871365542550345,2.286547882202141,8.406059906606696,5.95360638033465,103.60407246044686,0.10951561729576142,0.06034659040870114,340.95783469900675,3540.7858807125067,0.001782776791710535,0.21379843930014134,0.21379843930014134,0.4987188924670112,11.770566120749653,0.0016879837097248007,0.09120781285189397,7.36220389804685,0.00005082810274437583,0.5392978358650956,0.00022821142992043167,0.0004949430417581623,0.2525110337814228,6.38355801755774
1.0,0.035,0.96,0.005,320.43659572531027,53.51466598625027,36.92779459840755,195.54843473366364,33448.654458630815,291.1659830073078,67.85296695207296,50.30003566217826,1296.3523843124983,1.2145771466323125,3.1953756399961755,12.141949360302554,7.369861413557712,126.06023832422916,0.157319059017931,0.08882272084953254,363.6237033398177,3247.5108707141167,0.0022768869730773814,0.34675044502941116,0.34675044502941116,0.8923661982155606,13.930290425194581,0.0020389533565314576,0.12752083191033578,10.11437549640699,0.00007923842374300321,0.8033908392672616,0.00027590216014750985,0.0006757489994259621,0.34060784671020133,8.766448191126464
